Month,In/Out,Australia,"	Latitude",Longitude ,International,AllFlights
Mar-20,I,Adelaide,-34.9273,138.5995,Auckland,  16
Mar-20,I,Adelaide,,,Denpasar,  30
Mar-20,I,Adelaide,,,Denpasar,  9
Mar-20,I,Adelaide,,,Doha,  20
Mar-20,I,Adelaide,,,Dubai,  22
Mar-20,I,Adelaide,,,Hong Kong,  3
Mar-20,I,Adelaide,,,Kuala Lumpur,  15
Mar-20,I,Adelaide,,,Kuala Lumpur,  9
Mar-20,I,Adelaide,,,Singapore,  23
Mar-20,I,Brisbane,,,Abu Dhabi,  20
Mar-20,I,Brisbane,,,Apia,  3
Mar-20,I,Brisbane,,,Apia,  3
Mar-20,I,Brisbane,,,Auckland,  62
Mar-20,I,Brisbane,,,Auckland,  17
Mar-20,I,Brisbane,,,Auckland,  40
Mar-20,I,Brisbane,,,Auckland,  49
Mar-20,I,Brisbane,,,Bandar Seri Begawan,  13
Mar-20,I,Brisbane,,,Bangkok,  8
Mar-20,I,Brisbane,,,Bangkok,  14
Mar-20,I,Brisbane,,,Christchurch,  18
Mar-20,I,Brisbane,,,Christchurch,  19
Mar-20,I,Brisbane,,,Christchurch,  25
Mar-20,I,Brisbane,,,Denpasar,  24
Mar-20,I,Brisbane,,,Denpasar,  10
Mar-20,I,Brisbane,,,Denpasar,  31
Mar-20,I,Brisbane,,,Doha,  2
Mar-20,I,Brisbane,,,Dubai,  38
Mar-20,I,Brisbane,,,Dubai,  14
Mar-20,I,Brisbane,,,Dunedin,  10
Mar-20,I,Brisbane,,,Hong Kong,  12
Mar-20,I,Brisbane,,,Hong Kong,  12
Mar-20,I,Brisbane,,,Honiara,  18
Mar-20,I,Brisbane,,,Honiara,  6
Mar-20,I,Brisbane,,,Honolulu,  10
Mar-20,I,Brisbane,,,Kuala Lumpur,  11
Mar-20,I,Brisbane,,,Kuala Lumpur,  10
Mar-20,I,Brisbane,,,Los Angeles,  31
Mar-20,I,Brisbane,,,Los Angeles,  1
Mar-20,I,Brisbane,,,Los Angeles,  22
Mar-20,I,Brisbane,,,Manila,  15
Mar-20,I,Brisbane,,,Nadi,  17
Mar-20,I,Brisbane,,,Nadi,  24
Mar-20,I,Brisbane,,,Nauru,  9
Mar-20,I,Brisbane,,,Noumea,  8
Mar-20,I,Brisbane,,,Noumea,  5
Mar-20,I,Brisbane,,,Port Moresby,  29
Mar-20,I,Brisbane,,,Port Moresby,  2
Mar-20,I,Brisbane,,,Port Moresby,  25
Mar-20,I,Brisbane,,,Port Moresby,  15
Mar-20,I,Brisbane,,,Port Vila,  11
Mar-20,I,Brisbane,,,Port Vila,  9
Mar-20,I,Brisbane,,,Queenstown,  8
Mar-20,I,Brisbane,,,Queenstown,  10
Mar-20,I,Brisbane,,,San Francisco,  9
Mar-20,I,Brisbane,,,Seoul,  5
Mar-20,I,Brisbane,,,Singapore,  14
Mar-20,I,Brisbane,,,Singapore,  25
Mar-20,I,Brisbane,,,Singapore,  76
Mar-20,I,Brisbane,,,Taipei,  24
Mar-20,I,Brisbane,,,Taipei,  9
Mar-20,I,Brisbane,,,Tokyo,  25
Mar-20,I,Brisbane,,,Vancouver,  25
Mar-20,I,Brisbane,,,Wellington,  13
Mar-20,I,Brisbane,,,Wellington,  30
Mar-20,I,Cairns,,,Denpasar,  12
Mar-20,I,Cairns,,,Osaka,  20
Mar-20,I,Cairns,,,Port Moresby,  37
Mar-20,I,Cairns,,,Port Moresby,  15
Mar-20,I,Cairns,,,Singapore,  17
Mar-20,I,Cairns,,,Tokyo,  18
Mar-20,I,Cairns,,,Tokyo,  2
Mar-20,I,Canberra,,,Doha,  24
Mar-20,I,Canberra,,,Singapore,  19
Mar-20,I,Darwin,,,Denpasar,  15
Mar-20,I,Darwin,,,London,  5
Mar-20,I,Darwin,,,Singapore,  13
Mar-20,I,Darwin,,,Singapore,  13
Mar-20,I,Gold Coast,,,Auckland,  16
Mar-20,I,Gold Coast,,,Auckland,  22
Mar-20,I,Gold Coast,,,Auckland,  21
Mar-20,I,Gold Coast,,,Christchurch,  5
Mar-20,I,Gold Coast,,,Christchurch,  10
Mar-20,I,Gold Coast,,,Kuala Lumpur,  9
Mar-20,I,Gold Coast,,,Queenstown,  9
Mar-20,I,Gold Coast,,,Seoul,  1
Mar-20,I,Gold Coast,,,Seoul,  2
Mar-20,I,Gold Coast,,,Singapore,  9
Mar-20,I,Gold Coast,,,Tokyo,  23
Mar-20,I,Gold Coast,,,Wellington,  10
Mar-20,I,Melbourne,,,Abu Dhabi,  42
Mar-20,I,Melbourne,,,Auckland,  81
Mar-20,I,Melbourne,,,Auckland,  21
Mar-20,I,Melbourne,,,Auckland,  93
Mar-20,I,Melbourne,,,Auckland,  41
Mar-20,I,Melbourne,,,Bandar Seri Begawan,  24
Mar-20,I,Melbourne,,,Bangkok,  10
Mar-20,I,Melbourne,,,Bangkok,  47
Mar-20,I,Melbourne,,,Beijing,  4
Mar-20,I,Melbourne,,,Christchurch,  23
Mar-20,I,Melbourne,,,Christchurch,  20
Mar-20,I,Melbourne,,,Christchurch,  25
Mar-20,I,Melbourne,,,Christchurch,  27
Mar-20,I,Melbourne,,,Colombo,  25
Mar-20,I,Melbourne,,,Denpasar,  1
Mar-20,I,Melbourne,,,Denpasar,  21
Mar-20,I,Melbourne,,,Denpasar,  47
Mar-20,I,Melbourne,,,Denpasar,  3
Mar-20,I,Melbourne,,,Denpasar,  17
Mar-20,I,Melbourne,,,Denpasar,  18
Mar-20,I,Melbourne,,,Doha,  35
Mar-20,I,Melbourne,,,Dubai,  47
Mar-20,I,Melbourne,,,Dubai,  23
Mar-20,I,Melbourne,,,Guangzhou,  28
Mar-20,I,Melbourne,,,Ho Chi Minh City,  10
Mar-20,I,Melbourne,,,Ho Chi Minh City,  21
Mar-20,I,Melbourne,,,Hong Kong,  41
Mar-20,I,Melbourne,,,Hong Kong,  15
Mar-20,I,Melbourne,,,Honolulu,  5
Mar-20,I,Melbourne,,,Jakarta,  17
Mar-20,I,Melbourne,,,Kuala Lumpur,  36
Mar-20,I,Melbourne,,,Kuala Lumpur,  43
Mar-20,I,Melbourne,,,Kuala Lumpur,  17
Mar-20,I,Melbourne,,,London,  25
Mar-20,I,Melbourne,,,Los Angeles,  1
Mar-20,I,Melbourne,,,Los Angeles,  30
Mar-20,I,Melbourne,,,Los Angeles,  12
Mar-20,I,Melbourne,,,Los Angeles,  14
Mar-20,I,Melbourne,,,Manila,  6
Mar-20,I,Melbourne,,,Manila,  14
Mar-20,I,Melbourne,,,Nadi,  15
Mar-20,I,Melbourne,,,Nadi,  6
Mar-20,I,Melbourne,,,New Delhi,  9
Mar-20,I,Melbourne,,,Noumea,  5
Mar-20,I,Melbourne,,,Phuket,  9
Mar-20,I,Melbourne,,,Port Vila,  7
Mar-20,I,Melbourne,,,Queenstown,  13
Mar-20,I,Melbourne,,,Queenstown,  22
Mar-20,I,Melbourne,,,Queenstown,  13
Mar-20,I,Melbourne,,,San Francisco,  11
Mar-20,I,Melbourne,,,San Francisco,  9
Mar-20,I,Melbourne,,,Santiago,  11
Mar-20,I,Melbourne,,,Seoul,  1
Mar-20,I,Melbourne,,,Shanghai,  25
Mar-20,I,Melbourne,,,Singapore,  23
Mar-20,I,Melbourne,,,Singapore,  39
Mar-20,I,Melbourne,,,Singapore,  20
Mar-20,I,Melbourne,,,Singapore,  89
Mar-20,I,Melbourne,,,Singapore,  14
Mar-20,I,Melbourne,,,Taipei,  13
Mar-20,I,Melbourne,,,Tokyo,  20
Mar-20,I,Melbourne,,,Tokyo,  21
Mar-20,I,Melbourne,,,Vancouver,  14
Mar-20,I,Melbourne,,,Wellington,  15
Mar-20,I,Melbourne,,,Wellington,  25
Mar-20,I,Melbourne,,,Wellington,  15
Mar-20,I,Melbourne,,,Xiamen,  5
Mar-20,I,Norfolk Island,,,Auckland,  3
Mar-20,I,Perth,,,Auckland,  32
Mar-20,I,Perth,,,Bangkok,  23
Mar-20,I,Perth,,,Denpasar,  14
Mar-20,I,Perth,,,Denpasar,  12
Mar-20,I,Perth,,,Denpasar,  27
Mar-20,I,Perth,,,Denpasar,  60
Mar-20,I,Perth,,,Denpasar,  38
Mar-20,I,Perth,,,Denpasar,  22
Mar-20,I,Perth,,,Doha,  31
Mar-20,I,Perth,,,Dubai,  24
Mar-20,I,Perth,,,Hong Kong,  12
Mar-20,I,Perth,,,Jakarta,  11
Mar-20,I,Perth,,,Johannesburg,  19
Mar-20,I,Perth,,,Kota Kinabalu,  2
Mar-20,I,Perth,,,Kuala Lumpur,  19
Mar-20,I,Perth,,,Kuala Lumpur,  32
Mar-20,I,Perth,,,Kuala Lumpur,  19
Mar-20,I,Perth,,,London,  3
Mar-20,I,Perth,,,London,  25
Mar-20,I,Perth,,,Mauritius,  7
Mar-20,I,Perth,,,Singapore,  22
Mar-20,I,Perth,,,Singapore,  25
Mar-20,I,Perth,,,Singapore,  19
Mar-20,I,Perth,,,Singapore,  70
Mar-20,I,Perth,,,Tokyo,  27
Mar-20,I,Port Hedland,,,Denpasar,  2
Mar-20,I,Sydney,,,Abu Dhabi,  49
Mar-20,I,Sydney,,,Apia,  4
Mar-20,I,Sydney,,,Apia,  3
Mar-20,I,Sydney,,,Auckland,  111
Mar-20,I,Sydney,,,Auckland,  23
Mar-20,I,Sydney,,,Auckland,  16
Mar-20,I,Sydney,,,Auckland,  115
Mar-20,I,Sydney,,,Auckland,  58
Mar-20,I,Sydney,,,Bangkok,  26
Mar-20,I,Sydney,,,Bangkok,  26
Mar-20,I,Sydney,,,Beijing,  5
Mar-20,I,Sydney,,,Christchurch,  31
Mar-20,I,Sydney,,,Christchurch,  24
Mar-20,I,Sydney,,,Christchurch,  26
Mar-20,I,Sydney,,,Christchurch,  9
Mar-20,I,Sydney,,,Dallas,  21
Mar-20,I,Sydney,,,Denpasar,  18
Mar-20,I,Sydney,,,Denpasar,  20
Mar-20,I,Sydney,,,Denpasar,  3
Mar-20,I,Sydney,,,Denpasar,  15
Mar-20,I,Sydney,,,Denpasar,  24
Mar-20,I,Sydney,,,Denpasar,  35
Mar-20,I,Sydney,,,Doha,  37
Mar-20,I,Sydney,,,Doha,  24
Mar-20,I,Sydney,,,Dubai,  46
Mar-20,I,Sydney,,,Dubai,  24
Mar-20,I,Sydney,,,Guangzhou,  28
Mar-20,I,Sydney,,,Hanoi,  6
Mar-20,I,Sydney,,,Ho Chi Minh City,  10
Mar-20,I,Sydney,,,Ho Chi Minh City,  24
Mar-20,I,Sydney,,,Hong Kong,  51
Mar-20,I,Sydney,,,Hong Kong,  38
Mar-20,I,Sydney,,,Hong Kong,  1
Mar-20,I,Sydney,,,Honolulu,  16
Mar-20,I,Sydney,,,Honolulu,  25
Mar-20,I,Sydney,,,Houston,  19
Mar-20,I,Sydney,,,Jakarta,  15
Mar-20,I,Sydney,,,Jakarta,  20
Mar-20,I,Sydney,,,Johannesburg,  23
Mar-20,I,Sydney,,,Kuala Lumpur,  19
Mar-20,I,Sydney,,,Kuala Lumpur,  49
Mar-20,I,Sydney,,,Kuala Lumpur,  15
Mar-20,I,Sydney,,,London,  31
Mar-20,I,Sydney,,,London,  5
Mar-20,I,Sydney,,,London,  20
Mar-20,I,Sydney,,,Los Angeles,  18
Mar-20,I,Sydney,,,Los Angeles,  19
Mar-20,I,Sydney,,,Los Angeles,  7
Mar-20,I,Sydney,,,Los Angeles,  18
Mar-20,I,Sydney,,,Los Angeles,  17
Mar-20,I,Sydney,,,Los Angeles,  26
Mar-20,I,Sydney,,,Manila,  9
Mar-20,I,Sydney,,,Manila,  16
Mar-20,I,Sydney,,,Manila,  19
Mar-20,I,Sydney,,,Nadi,  37
Mar-20,I,Sydney,,,Nadi,  10
Mar-20,I,Sydney,,,Nadi,  13
Mar-20,I,Sydney,,,Nadi,  19
Mar-20,I,Sydney,,,New Delhi,  16
Mar-20,I,Sydney,,,New York,  18
Mar-20,I,Sydney,,,Noumea,  13
Mar-20,I,Sydney,,,Noumea,  11
Mar-20,I,Sydney,,,Osaka,  11
Mar-20,I,Sydney,,,Phuket,  10
Mar-20,I,Sydney,,,Port Moresby,  2
Mar-20,I,Sydney,,,Port Moresby,  4
Mar-20,I,Sydney,,,Port Vila,  15
Mar-20,I,Sydney,,,Queenstown,  9
Mar-20,I,Sydney,,,Queenstown,  22
Mar-20,I,Sydney,,,Queenstown,  35
Mar-20,I,Sydney,,,Queenstown,  20
Mar-20,I,Sydney,,,Rarotonga,  3
Mar-20,I,Sydney,,,San Francisco,  20
Mar-20,I,Sydney,,,San Francisco,  31
Mar-20,I,Sydney,,,Santiago,  16
Mar-20,I,Sydney,,,Santiago,  10
Mar-20,I,Sydney,,,Santiago,  16
Mar-20,I,Sydney,,,Sapporo,  7
Mar-20,I,Sydney,,,Seoul,  5
Mar-20,I,Sydney,,,Seoul,  2
Mar-20,I,Sydney,,,Seoul,  9
Mar-20,I,Sydney,,,Shanghai,  24
Mar-20,I,Sydney,,,Singapore,  31
Mar-20,I,Sydney,,,Singapore,  20
Mar-20,I,Sydney,,,Singapore,  15
Mar-20,I,Sydney,,,Singapore,  18
Mar-20,I,Sydney,,,Singapore,  83
Mar-20,I,Sydney,,,Singapore,  19
Mar-20,I,Sydney,,,Suva,  3
Mar-20,I,Sydney,,,Taipei,  24
Mar-20,I,Sydney,,,Tokyo,  30
Mar-20,I,Sydney,,,Tokyo,  31
Mar-20,I,Sydney,,,Tokyo,  2
Mar-20,I,Sydney,,,Tokyo,  26
Mar-20,I,Sydney,,,Tongatapu,  6
Mar-20,I,Sydney,,,Vancouver,  29
Mar-20,I,Sydney,,,Wellington,  29
Mar-20,I,Sydney,,,Wellington,  48
