Month,PortRegion,Australia,LongitudeInAustralia,LatitudeInAustralia,International,LongitudeInternation,LatitudeInternational,Airline ,Allflights
2019/12/1,Middle East,Melbourne,144.9631,-37.8136,Abu Dhabi,54.3549,24.4882,Etihad Airways,  62
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Auckland,174.7628,-36.8473,Air New Zealand,  118
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Auckland,174.7628,-36.8473,Jetstar,  41
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Auckland,174.7628,-36.8473,Qantas Airways,  135
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Auckland,174.7628,-36.8473,Virgin Australia,  63
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Bangkok,100.501762,13.756331,Jetstar,  13
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Christchurch,172.6380,-43.5308,Air New Zealand,  46
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Christchurch,172.6380,-43.5308,Jetstar,  25
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Christchurch,172.6380,-43.5308,Qantas Airways,  33
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Christchurch,172.6380,-43.5308,Virgin Australia,  32
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Denpasar,115.2336,-8.6722,Jetstar,  65
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Denpasar,115.2336,-8.6722,Qantas Airways,  31
2019/12/1,Middle East,Melbourne,144.9631,-37.8136,Doha,51.53104,25.285446,Qatar Airways,  31
2019/12/1,Middle East,Melbourne,144.9631,-37.8136,Dubai,55.270782,25.204849,Emirates,  62
2019/12/1,Middle East,Melbourne,144.9631,-37.8136,Dubai,55.270782,25.204849,Emirates,  31
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Ho Chi Minh City,106.629662,10.823099,Jetstar,  14
2019/12/1,NE Asia,Melbourne,144.9631,-37.8136,Hong Kong,114.109497,22.396427,Cathay Pacific Airways,  93
2019/12/1,NE Asia,Melbourne,144.9631,-37.8136,Hong Kong,114.109497,22.396427,Qantas Airways,  30
2019/12/1,NE Asia,Melbourne,144.9631,-37.8136,Hong Kong,114.109497,22.396427,Virgin Australia,  30
2019/12/1,N America,Melbourne,144.9631,-37.8136,Honolulu,-157.8582,21.3099,Jetstar,  10
2019/12/1,Europe,Melbourne,144.9631,-37.8136,London,-0.1262,51.5002,Qantas Airways,  28
2019/12/1,N America,Melbourne,144.9631,-37.8136,Los Angeles,-118.2433,34.0522,Qantas Airways,  39
2019/12/1,N America,Melbourne,144.9631,-37.8136,Los Angeles,-118.2433,34.0522,Virgin Australia,  21
2019/12/1,Islands,Melbourne,144.9631,-37.8136,Nadi,177.4167,-17.4800,Virgin Australia,  18
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Phuket,98.3982,7.8900,Jetstar,  17
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Queenstown,168.6580,-45.0327,Air New Zealand,  24
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Queenstown,168.6580,-45.0327,Jetstar,  39
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Queenstown,168.6580,-45.0327,Qantas Airways,  2
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Queenstown,168.6580,-45.0327,Virgin Australia,  17
2019/12/1,N America,Melbourne,144.9631,-37.8136,San Francisco,-122.419418,37.774929,Qantas Airways,  15
2019/12/1,NE Asia,Melbourne,144.9631,-37.8136,Seoul,126.977966,37.566536,Jetstar,  3
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Singapore,103.819839,1.352083,Emirates,  31
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Singapore,103.819839,1.352083,Jetstar,  1
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Singapore,103.819839,1.352083,Qantas Airways,  61
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Singapore,103.819839,1.352083,Scoot Tigerair,  52
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Singapore,103.819839,1.352083,Singapore Airlines,  124
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Singapore,103.819839,1.352083,Singapore Airlines,  17
2019/12/1,NE Asia,Melbourne,144.9631,-37.8136,Tokyo,139.691711,35.689487,Jetstar,  1
2019/12/1,NE Asia,Melbourne,144.9631,-37.8136,Tokyo,139.691711,35.689487,Qantas Airways,  31
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Wellington,174.7760,-41.2851,Air New Zealand,  30
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Wellington,174.7760,-41.2851,Qantas Airways,  34
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Wellington,174.7760,-41.2851,Singapore Airlines,  18
2019/12/1,Middle East,Melbourne,144.9631,-37.8136,Abu Dhabi,54.3549,24.4882,Etihad Airways,  62
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Auckland,174.7628,-36.8473,Air New Zealand,  114
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Auckland,174.7628,-36.8473,Jetstar,  41
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Auckland,174.7628,-36.8473,Qantas Airways,  134
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Auckland,174.7628,-36.8473,Virgin Australia,  63
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Bangkok,100.501762,13.756331,Jetstar,  13
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Christchurch,172.6380,-43.5308,Air New Zealand,  45
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Christchurch,172.6380,-43.5308,Jetstar,  26
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Christchurch,172.6380,-43.5308,Qantas Airways,  33
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Christchurch,172.6380,-43.5308,Virgin Australia,  32
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Denpasar,115.2336,-8.6722,Jetstar,  66
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Denpasar,115.2336,-8.6722,Jetstar,  1
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Denpasar,115.2336,-8.6722,Qantas Airways,  31
2019/12/1,Middle East,Melbourne,144.9631,-37.8136,Doha,51.53104,25.285446,Qatar Airways,  31
2019/12/1,Middle East,Melbourne,144.9631,-37.8136,Dubai,55.270782,25.204849,Emirates,  62
2019/12/1,Middle East,Melbourne,144.9631,-37.8136,Dubai,55.270782,25.204849,Emirates,  31
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Ho Chi Minh City,106.629662,10.823099,Jetstar,  13
2019/12/1,NE Asia,Melbourne,144.9631,-37.8136,Hong Kong,114.109497,22.396427,Cathay Pacific Airways,  93
2019/12/1,NE Asia,Melbourne,144.9631,-37.8136,Hong Kong,114.109497,22.396427,Qantas Airways,  30
2019/12/1,NE Asia,Melbourne,144.9631,-37.8136,Hong Kong,114.109497,22.396427,Virgin Australia,  30
2019/12/1,N America,Melbourne,144.9631,-37.8136,Honolulu,-157.8582,21.3099,Jetstar,  10
2019/12/1,Europe,Melbourne,144.9631,-37.8136,London,-0.1262,51.5002,Qantas Airways,  28
2019/12/1,N America,Melbourne,144.9631,-37.8136,Los Angeles,-118.2433,34.0522,Qantas Airways,  39
2019/12/1,N America,Melbourne,144.9631,-37.8136,Los Angeles,-118.2433,34.0522,Virgin Australia,  22
2019/12/1,Islands,Melbourne,144.9631,-37.8136,Nadi,177.4167,-17.4800,Virgin Australia,  18
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Phuket,98.3982,7.8900,Jetstar,  17
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Queenstown,168.6580,-45.0327,Air New Zealand,  24
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Queenstown,168.6580,-45.0327,Jetstar,  39
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Queenstown,168.6580,-45.0327,Qantas Airways,  2
2019/12/1,New Zealand,Melbourne,144.9631,-37.8136,Queenstown,168.6580,-45.0327,Virgin Australia,  17
2019/12/1,N America,Melbourne,144.9631,-37.8136,San Francisco,-122.419418,37.774929,Qantas Airways,  15
2019/12/1,NE Asia,Melbourne,144.9631,-37.8136,Seoul,126.977966,37.566536,Jetstar,  4
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Singapore,103.819839,1.352083,Emirates,  31
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Singapore,103.819839,1.352083,Jetstar,  1
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Singapore,103.819839,1.352083,Qantas Airways,  61
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Singapore,103.819839,1.352083,Scoot Tigerair,  52
2019/12/1,SE Asia,Melbourne,144.9631,-37.8136,Singapore,103.819839,1.352083,Singapore Airlines,  124
