Month,PortRegion,Australian,International ,Airline ,Allflights
2018/1/1,Middle East,Melbourne,Abu Dhabi,Etihad Airways,  62
2018/1/1,New Zealand,Melbourne,Auckland,Air New Zealand,  115
2018/1/1,New Zealand,Melbourne,Auckland,Emirates,  30
2018/1/1,New Zealand,Melbourne,Auckland,Jetstar,  37
2018/1/1,New Zealand,Melbourne,Auckland,Qantas Airways,  93
2018/1/1,New Zealand,Melbourne,Auckland,Virgin Australia,  48
2018/1/1,SE Asia,Melbourne,Bandar Seri Begawan,Royal Brunei Airlines,  31
2018/1/1,SE Asia,Melbourne,Bangkok,Jetstar,  13
2018/1/1,SE Asia,Melbourne,Bangkok,Thai Airways International,  62
2018/1/1,NE Asia,Melbourne,Beijing,Air China,  31
2018/1/1,NE Asia,Melbourne,Changsha,Hainan Airlines,  9
2018/1/1,NE Asia,Melbourne,Chengdu,Sichuan Airlines,  13
2018/1/1,NE Asia,Melbourne,Chongqing,Tianjin Airlines,  13
2018/1/1,New Zealand,Melbourne,Christchurch,Air New Zealand,  48
2018/1/1,New Zealand,Melbourne,Christchurch,China Airlines,  12
2018/1/1,New Zealand,Melbourne,Christchurch,Jetstar,  31
2018/1/1,New Zealand,Melbourne,Christchurch,Qantas Airways,  30
2018/1/1,New Zealand,Melbourne,Christchurch,Virgin Australia,  36
2018/1/1,S Asia,Melbourne,Colombo,SriLankan Airlines,  31
2018/1/1,SE Asia,Melbourne,Denpasar,Garuda Indonesia,  35
2018/1/1,SE Asia,Melbourne,Denpasar,Jetstar,  11
2018/1/1,SE Asia,Melbourne,Denpasar,Jetstar,  43
2018/1/1,Middle East,Melbourne,Doha,Qatar Airways,  31
2018/1/1,Middle East,Melbourne,Dubai,Emirates,  31
2018/1/1,Middle East,Melbourne,Dubai,Emirates,  31
2018/1/1,Middle East,Melbourne,Dubai,Emirates,  31
2018/1/1,Middle East,Melbourne,Dubai,Qantas Airways,  30
2018/1/1,NE Asia,Melbourne,Guangzhou,China Southern Airlines,  92
2018/1/1,NE Asia,Melbourne,Hangzhou,Xiamen Airlines,  9
2018/1/1,SE Asia,Melbourne,Ho Chi Minh City,Jetstar,  13
2018/1/1,SE Asia,Melbourne,Ho Chi Minh City,Vietnam Airlines,  31
2018/1/1,NE Asia,Melbourne,Hong Kong,Cathay Pacific Airways,  93
