Month,PortRegion,Australian,International ,Airline ,Allflights
2019/12/1,Middle East,Melbourne,Abu Dhabi,Etihad Airways,  62
2019/12/1,New Zealand,Melbourne,Auckland,Air New Zealand,  118
2019/12/1,New Zealand,Melbourne,Auckland,Jetstar,  41
2019/12/1,New Zealand,Melbourne,Auckland,Qantas Airways,  135
2019/12/1,New Zealand,Melbourne,Auckland,Virgin Australia,  63
2019/12/1,SE Asia,Melbourne,Bandar Seri Begawan,Royal Brunei Airlines,  31
2019/12/1,SE Asia,Melbourne,Bangkok,Jetstar,  13
2019/12/1,SE Asia,Melbourne,Bangkok,Thai Airways International,  62
2019/12/1,NE Asia,Melbourne,Beijing,Air China,  31
2019/12/1,NE Asia,Melbourne,Changsha,Hainan Airlines,  9
2019/12/1,NE Asia,Melbourne,Chengdu,Sichuan Airlines,  9
2019/12/1,NE Asia,Melbourne,Chongqing,Tianjin Airlines,  12
2019/12/1,New Zealand,Melbourne,Christchurch,Air New Zealand,  46
2019/12/1,New Zealand,Melbourne,Christchurch,Jetstar,  25
2019/12/1,New Zealand,Melbourne,Christchurch,Qantas Airways,  33
2019/12/1,New Zealand,Melbourne,Christchurch,Virgin Australia,  32
2019/12/1,S Asia,Melbourne,Colombo,SriLankan Airlines,  31
2019/12/1,SE Asia,Melbourne,Denpasar,Garuda Indonesia,  30
2019/12/1,SE Asia,Melbourne,Denpasar,Jetstar,  65
2019/12/1,SE Asia,Melbourne,Denpasar,Malindo Air,  31
2019/12/1,SE Asia,Melbourne,Denpasar,Qantas Airways,  31
2019/12/1,Middle East,Melbourne,Doha,Qatar Airways,  31
2019/12/1,Middle East,Melbourne,Dubai,Emirates,  62
2019/12/1,Middle East,Melbourne,Dubai,Emirates,  31
2019/12/1,NE Asia,Melbourne,Guangzhou,China Southern Airlines,  80
2019/12/1,NE Asia,Melbourne,Guiyang,Sichuan Airlines,  8
2019/12/1,NE Asia,Melbourne,Haikou,Hainan Airlines,  9
2019/12/1,NE Asia,Melbourne,Hangzhou,Xiamen Airlines,  8
2019/12/1,SE Asia,Melbourne,Ho Chi Minh City,Jetstar,  14
