Month,In/Out,Australia,Latitude,Longitude,International,Latitude,Longitude,AllFlights
20-Mar,I,Adelaide,-34.9273,138.5995,Auckland,-36.8473,174.7628,16
20-Mar,I,Adelaide,-34.9273,138.5995,Denpasar,-8.6722,115.2336,30
20-Mar,I,Adelaide,-34.9273,138.5995,Denpasar,-8.6722,115.2336,9
20-Mar,I,Brisbane,-27.47,153.023,Abu Dhabi,24.4882,54.3549,20
20-Mar,I,Brisbane,-27.47,153.023,Apia,-13.8333,-171.7500,3
20-Mar,I,Brisbane,-27.47,153.023,Apia,-13.8333,-171.7500,3
20-Mar,I,Brisbane,-27.47,153.023,Auckland,-36.8473,174.7628,62
20-Mar,I,Brisbane,-27.47,153.023,Auckland,-36.8473,174.7628,17
20-Mar,I,Brisbane,-27.47,153.023,Auckland,-36.8473,174.7628,40
20-Mar,I,Brisbane,-27.47,153.023,Auckland,-36.8473,174.7628,49
20-Mar,I,Brisbane,-27.47,153.023,Bandar Seri Begawan,4.8807,114.9223,13
20-Mar,I,Brisbane,-27.47,153.023,Christchurch,-43.5308,172.6380,18
20-Mar,I,Brisbane,-27.47,153.023,Christchurch,-43.5308,172.6380,19
20-Mar,I,Brisbane,-27.47,153.023,Christchurch,-43.5308,172.6380,25
20-Mar,I,Brisbane,-27.47,153.023,Denpasar,-8.6722,115.2336,24
20-Mar,I,Brisbane,-27.47,153.023,Denpasar,-8.6722,115.2336,10
20-Mar,I,Brisbane,-27.47,153.023,Denpasar,-8.6722,115.2336,31
20-Mar,I,Brisbane,-27.47,153.023,Dunedin,-45.8667,170.5000,10
20-Mar,I,Brisbane,-27.47,153.023,Honolulu,21.3099,-157.8582,10
20-Mar,I,Brisbane,-27.47,153.023,Los Angeles,34.0522,-118.2433,31
20-Mar,I,Brisbane,-27.47,153.023,Los Angeles,34.0522,-118.2433,1
20-Mar,I,Brisbane,-27.47,153.023,Los Angeles,34.0522,-118.2433,22
20-Mar,I,Brisbane,-27.47,153.023,Manila,14.5823,120.9748,15
20-Mar,I,Brisbane,-27.47,153.023,Nadi,-17.4800,177.4167,17
20-Mar,I,Brisbane,-27.47,153.023,Nadi,-17.4800,177.4167,24
20-Mar,I,Brisbane,-27.47,153.023,Nouméa,-22.2758,166.4580,8
20-Mar,I,Brisbane,-27.47,153.023,Nouméa,-22.2758,166.4580,5
20-Mar,I,Brisbane,-27.47,153.023,Port Moresby,-9.4671,147.1960,29
